Report area: top=TOP; level=10000; athr=0;
  router_0/input_block/generate_input_ports_3__input_port/generate_virtual_channels_0__input_buffer/circular_buffer      :    T=(   1255.41,   3.606%),    C=(    257.91,   0.741%),    R=(    997.50,   2.865%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_3__input_port/generate_virtual_channels_1__input_buffer                      :    T=(   1355.96,   3.895%),    C=(    303.56,   0.872%),    R=(   1052.40,   3.023%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_3__input_port/generate_virtual_channels_1__input_buffer/circular_buffer      :    T=(   1254.46,   3.603%),    C=(    256.96,   0.738%),    R=(    997.50,   2.865%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_4__input_port                                                                :    T=(   2776.72,   7.976%),    C=(    672.55,   1.932%),    R=(   2104.17,   6.044%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_4__input_port/chiplet_rc_unit                                                :    T=(      7.66,   0.022%),    C=(      7.66,   0.022%),    R=(      0.00,   0.000%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_4__input_port/generate_virtual_channels_0__input_buffer                      :    T=(   1359.15,   3.904%),    C=(    307.07,   0.882%),    R=(   1052.08,   3.022%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_4__input_port/generate_virtual_channels_0__input_buffer/circular_buffer      :    T=(   1259.24,   3.617%),    C=(    261.74,   0.752%),    R=(    997.50,   2.865%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_4__input_port/generate_virtual_channels_1__input_buffer                      :    T=(   1359.47,   3.905%),    C=(    307.39,   0.883%),    R=(   1052.08,   3.022%),    B=(      0.00,   0.000%),    
  router_0/input_block/generate_input_ports_4__input_port/generate_virtual_channels_1__input_buffer/circular_buffer      :    T=(   1259.24,   3.617%),    C=(    261.74,   0.752%),    R=(    997.50,   2.865%),    B=(      0.00,   0.000%),    
  router_0/switch_allocator                                                                                              :    T=(   1319.57,   3.790%),    C=(   1198.28,   3.442%),    R=(    121.30,   0.348%),    B=(      0.00,   0.000%),    
  router_0/switch_allocator/separable_input_first_allocator                                                              :    T=(    968.77,   2.783%),    C=(    847.48,   2.434%),    R=(    121.30,   0.348%),    B=(      0.00,   0.000%),    
  router_0/switch_allocator/separable_input_first_allocator/generate_input_round_robin_arbiters_0__round_robin_arbiter   :    T=(     12.77,   0.037%),    C=(      6.70,   0.019%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  router_0/switch_allocator/separable_input_first_allocator/generate_input_round_robin_arbiters_1__round_robin_arbiter   :    T=(     12.77,   0.037%),    C=(      6.70,   0.019%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  router_0/switch_allocator/separable_input_first_allocator/generate_input_round_robin_arbiters_2__round_robin_arbiter   :    T=(     12.77,   0.037%),    C=(      6.70,   0.019%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  router_0/switch_allocator/separable_input_first_allocator/generate_input_round_robin_arbiters_3__round_robin_arbiter   :    T=(     12.77,   0.037%),    C=(      6.70,   0.019%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  router_0/switch_allocator/separable_input_first_allocator/generate_input_round_robin_arbiters_4__round_robin_arbiter   :    T=(     12.77,   0.037%),    C=(      6.70,   0.019%),    R=(      6.06,   0.017%),    B=(      0.00,   0.000%),    
  router_0/switch_allocator/separable_input_first_allocator/generate_output_round_robin_arbiters_0__round_robin_arbiter  :    T=(    155.13,   0.446%),    C=(    136.94,   0.393%),    R=(     18.19,   0.052%),    B=(      0.00,   0.000%),    
  router_0/switch_allocator/separable_input_first_allocator/generate_output_round_robin_arbiters_1__round_robin_arbiter  :    T=(    152.26,   0.437%),    C=(    134.06,   0.385%),    R=(     18.19,   0.052%),    B=(      0.00,   0.000%),    
  router_0/switch_allocator/separable_input_first_allocator/generate_output_round_robin_arbiters_2__round_robin_arbiter  :    T=(    151.62,   0.436%),    C=(    133.43,   0.383%),    R=(     18.19,   0.052%),    B=(      0.00,   0.000%),    
  router_0/switch_allocator/separable_input_first_allocator/generate_output_round_robin_arbiters_3__round_robin_arbiter  :    T=(    151.62,   0.436%),    C=(    133.43,   0.383%),    R=(     18.19,   0.052%),    B=(      0.00,   0.000%),    
  router_0/switch_allocator/separable_input_first_allocator/generate_output_round_robin_arbiters_4__round_robin_arbiter  :    T=(    153.22,   0.440%),    C=(    135.02,   0.388%),    R=(     18.19,   0.052%),    B=(      0.00,   0.000%),    
  router_0/vc_allocator                                                                                                  :    T=(   1373.52,   3.945%),    C=(   1194.77,   3.432%),    R=(    178.75,   0.513%),    B=(      0.00,   0.000%),    
